case_id,fen,source,source_kind,category,game_index,ply,played_move,baseline_move,completed_depth,agent_nodes,agent_elapsed_s,sf_best_move,sf_best_score,sf_candidate_score,sf_best_expectation,sf_candidate_expectation,cp_delta_raw,cp_loss,expectation_delta_raw,expectation_loss,mate_blunder,sign_flip,winning_to_notwinning,pathology_priority,screen_baseline_move,screen_cp_loss,screen_expectation_loss
validation_0269,r1b2bk1/1p3p2/p3p2p/2p1P3/2P5/1R2B3/P1BNnPPP/6K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+in_check,,,,g1f1,9,66048,3.4110733660054393,g1f1,+151,+151,0.9755,0.9755,0.0,0.0,0.0,0.0,False,False,False,0.0,g1h1,106.0,0.45499999999999996
pgn_v1_1_vs_v1_g13_p13,1rr5/1k6/p1b1pBp1/2QpP1P1/P7/1P2Pp2/3K4/8 w - - 1 7,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,middle_17_23+capture_available,13,13,c5e7,c5e7,7,68608,3.407963610981824,c5e7,0,0,0.5,0.5,0.0,0.0,0.0,0.0,False,False,False,0.0,c5d6,366.0,0.5
pgn_nn_vs_stockfish_2000_g9_p45,r1k4r/2pn2bp/b1p3q1/N4pB1/PP2p3/2P2N1Q/5PPP/R3R1K1 w - - 0 23,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+capture_rich,9,45,a1d1,a1d1,5,56832,3.4109505329979584,g5f4,+109,+26,0.801,0.5145,83.0,83.0,0.2865000000000001,0.2865000000000001,False,False,True,4.031000000000001,a1d1,123.0,0.44399999999999995
pgn_v1_1_vs_v1_g7_p82,8/8/1p2P3/p5R1/3P3P/1k1K4/3n3r/8 b - - 0 41,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+capture_available,7,82,b3b4,d2f3,8,74240,3.4109010490064975,h2h4,-11,-61,0.498,0.453,50.0,50.0,0.044999999999999984,0.044999999999999984,False,False,False,0.5499999999999998,b3a3,405.0,0.486
suite_0049,8/1k5p/p4P2/1p6/2p5/P3Q2P/KPq5/8 b - - 0 1,training/data/test_fens_60.txt,fen_suite,late_11_16+capture_available,,,,c4c3,8,73472,3.4119378010218497,c2f5,-11,-71,0.498,0.421,60.0,60.0,0.07700000000000001,0.07700000000000001,False,False,False,0.8900000000000001,b5b4,315.0,0.495
validation_0247,r3r1k1/6bp/pq2b1p1/RN1Qp1B1/1PP5/8/5PPP/5BK1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,,d5f3,5,58368,3.407979564013658,d5d6,-26,-189,0.491,0.004,163.0,163.0,0.487,0.487,False,False,False,5.196,d5f3,236.0,0.4995
pgn_v1_1_vs_v1_g12_p5,8/1b4k1/p2p4/Pp1P2p1/1P1r4/1R4KP/8/3B4 w - - 1 3,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+quiet,12,5,d1c2,b3e3,8,75264,3.408136458019726,d1f3,-77,-160,0.394,0.0145,83.0,83.0,0.3795,0.3795,False,False,False,3.961,d1c2,271.0,0.4815
pgn_v1_1_vs_v1_g11_p9,8/1b4k1/p2p4/Pp1P2p1/1P1rB3/1R4KP/8/8 w - - 5 5,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+quiet,11,9,e4b1,e4b1,7,72763,3.4014560939976946,e4g2,-32,-280,0.49,0.0,248.0,248.0,0.49,0.49,False,False,False,5.396000000000001,e4b1,213.0,0.4885
pgn_nn_vs_material_g5_p37,1r1q3r/pp1knpbp/7p/1Ppp4/3P4/1Q3N1P/P4PP1/R3R1K1 w - - 0 19,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,5,37,d4c5,d4c5,5,66048,3.4100928980042227,f3e5,-160,-212,0.021,0.0015,52.0,52.0,0.0195,0.0195,False,False,False,0.299,d4c5,160.0,0.4855
validation_0311,r2qr1k1/1ppb1pb1/3p1npp/p1n5/2PNPP2/2N3PP/PP4BK/1RBQR3 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,f6e4,5,54272,3.4016308290010784,a5a4,-41,-181,0.4535,0.0225,140.0,140.0,0.431,0.431,False,False,False,4.59,f6e4,184.0,0.4795
validation_0152,8/2R5/2r5/2k1p3/1pP1P3/8/2Pn2B1/6K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,,c7c6,11,87808,3.4017807070049457,c7d7,-38,-89,0.487,0.325,51.0,51.0,0.16199999999999998,0.16199999999999998,False,False,False,1.7219999999999998,c7a7,133.0,0.4715
pgn_v1_1_vs_v1_g5_p24,2b1r1k1/1pp3p1/7P/2p1pp2/1pP4R/rP1BPPp1/P2P2P1/R3K3 b Q - 0 12,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,high_material_24_32+capture_available,5,24,e5e4,g7h6,5,56576,3.413437896000687,g7g6,+98,+2,0.7355,0.5,96.0,96.0,0.23550000000000004,0.23550000000000004,False,False,False,2.5470000000000006,g7h6,139.0,0.33749999999999997
pgn_v1_1_vs_v1_g10_p1,8/p7/2pbk3/1p4pp/1P2P3/2PN1K1P/1P6/8 w - - 0 1,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+quiet,10,1,d3f2,d3f2,9,82176,3.4021590239717625,f3e2,-2,-45,0.4995,0.4815,43.0,43.0,0.018000000000000016,0.018000000000000016,False,False,False,0.2660000000000001,d3f2,96.0,0.44499999999999995
validation_0195,2b3k1/p4pp1/1p6/3p4/3P4/B3P2P/1P3PP1/6K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+quiet,,,,a3d6,8,83456,3.4047779380052816,a3d6,+88,+88,0.6635,0.6635,0.0,0.0,0.0,0.0,False,False,False,0.0,f2f3,60.0,0.33100000000000007
validation_0231,3r1k2/1q3ppp/p3pn2/1p2N3/1P6/P1Q3P1/4PPKP/2R5 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+in_check,,,,c3c6,6,65536,3.400840418005828,c3c6,+179,+179,0.995,0.995,0.0,0.0,0.0,0.0,False,False,False,0.0,f2f3,109.0,0.396
validation_0314,3rr3/pp4k1/2p1pnp1/4b1q1/4PN1p/P2BQ1PP/1PP5/1K1R2R1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,g7h8,5,61696,3.4036272180092055,g7h7,+66,-145,0.578,0.048,211.0,211.0,0.5299999999999999,0.5299999999999999,False,False,False,5.721999999999999,g7h8,179.0,0.38050000000000006
pgn_nn_vs_material_g12_p24,2kr1b1r/ppp2ppp/2n5/3p1b2/4p2q/6P1/PPPPPK1P/RNBQ1BNR b - - 0 12,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,12,24,f8c5,h4h5,5,51200,3.411557937011821,h4f6,+291,+55,0.9995,0.5725,236.0,236.0,0.42700000000000005,0.42700000000000005,False,False,False,4.742000000000001,h4h5,221.0,0.36150000000000004
pgn_nn_vs_stockfish_2000_g7_p39,rn5r/ppk2p2/1q1p1bpp/2pP4/5P2/2N4B/PPPQ3P/2K1RR2 w - - 5 20,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+quiet,7,39,f1f3,f4f5,5,60416,3.4177258769923355,h3e6,-40,-225,0.4755,0.001,185.0,185.0,0.4745,0.4745,False,False,False,5.115,f4f5,116.0,0.3815
validation_0176,r5k1/5ppp/2N1p3/p7/P7/1Pn2P2/6PP/R3K3 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,,a8a6,7,67840,3.404202702018665,c3d5,-66,-248,0.4375,0.0,182.0,182.0,0.4375,0.4375,False,False,False,4.739,a8a6,154.0,0.364
validation_0369,r4rk1/p1p3pp/2p5/2bqP3/2bP1pQ1/2P2N2/PP4PP/R1B1K2R w KQ -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,f3d2,5,52561,3.40500043699285,e1f2,+34,-90,0.5175,0.3125,124.0,124.0,0.20499999999999996,0.20499999999999996,False,False,False,2.298,f3d2,155.0,0.33949999999999997
validation_0222,r1r3k1/2pp1ppp/b3q3/p7/P2QP3/1P6/1P3PPP/1BR1R1K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,,c7c5,5,61952,3.403392857988365,a8b8,-91,-120,0.3115,0.1295,29.0,29.0,0.182,0.182,False,False,False,1.878,c7c5,66.0,0.34450000000000003
validation_0293,2b2rk1/5p1p/p2p1ppb/8/1r1NP1P1/q1PQ3P/B4P2/R3K2R b K -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,,b4d4,5,54671,3.4011191969912034,a3b2,-2,-101,0.499,0.246,99.0,99.0,0.253,0.253,False,False,False,2.728,b4d4,113.0,0.316
validation_0392,2kr1b1r/1pp1qppp/p1p2n2/8/4P1b1/2NP1N2/PPP2PPP/R1BQ1RK1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,h7h5,5,57344,3.412331419007387,h7h6,-65,-171,0.409,0.023,106.0,106.0,0.38599999999999995,0.38599999999999995,False,False,False,4.071999999999999,h7h5,85.0,0.303
validation_0256,2r3k1/pp4pp/5rn1/q2p3Q/3N1p2/1PP5/P1R2PPP/3R2K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,,c3c4,5,61696,3.4107557749957778,d4f3,+164,+81,0.985,0.632,83.0,83.0,0.353,0.353,False,False,False,3.6959999999999997,c3c4,74.0,0.2985
validation_0396,2kr1bnr/pppq1ppp/2n5/4p3/6b1/4PN2/PPPNBPPP/R1BQ1RK1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,,d2c4,5,57088,3.406593923980836,c2c3,0,-100,0.5,0.2485,100.0,100.0,0.2515,0.2515,False,False,False,2.7150000000000003,d2c4,112.0,0.2899999999999999
suite_0038,5k2/1R2Rp1p/5rp1/p7/4PP2/4r1P1/7P/5K2 b - - 0 1,training/data/test_fens_60.txt,fen_suite,late_11_16+capture_available,,,,a5a4,7,71936,3.4019770529994275,g6g5,0,-51,0.5,0.472,51.0,51.0,0.028000000000000025,0.028000000000000025,False,False,False,0.38200000000000023,h7h5,97.0,0.2845
pgn_v1_1_vs_v1_g13_p15,1r6/1kr1Q3/p1b1pBp1/3pP1P1/P7/1P2Pp2/3K4/8 w - - 3 8,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,middle_17_23+capture_available,13,15,e7e6,e7e6,7,67584,3.4113608459883835,e7e6,0,0,0.5,0.5,0.0,0.0,0.0,0.0,False,False,False,0.0,e7b4,101.0,0.2565
validation_0334,3rrnk1/1pp1bpp1/2n1q3/p2bp1P1/P3N3/2PPB3/1PBNQP2/R3K1R1 b Q -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,,c6d4,6,54944,3.4083094380039256,f8g6,-147,-194,0.067,0.012,47.0,47.0,0.05500000000000001,0.05500000000000001,False,False,False,0.644,c6d4,81.0,0.23750000000000002
validation_0381,r1b1kb1r/3n1ppp/p1p1p3/2Pp4/4PB2/1Nq2N2/P1P2PPP/1R1Q1RK1 b kq -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,f8c5,5,52480,3.403514736011857,d5e4,-112,-178,0.1845,0.0165,66.0,66.0,0.16799999999999998,0.16799999999999998,False,False,False,1.8119999999999998,f8c5,56.0,0.241
validation_0300,4r3/2RNn1kp/p4p2/1b1p2p1/3P4/5N2/PP3PPP/6K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,,d7c5,6,70144,3.405118968017632,d7b6,+138,+83,0.95,0.6365,55.0,55.0,0.3135,0.3135,False,False,False,3.2449999999999997,d7c5,38.0,0.24450000000000005
pgn_nn_vs_material_g20_p39,2k4r/ppp2ppp/8/5b2/7P/7B/PPnrP2P/RN1K3R w - - 0 20,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,middle_17_23+in_check,20,39,d1d2,d1d2,9,69376,3.411052272975212,d1d2,+429,+429,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,0.0,b1d2,260.0,0.19599999999999995
validation_0029,8/8/8/p1R5/7p/4k2K/r7/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,,e3d2,9,102656,3.405346474988619,a2a3,+45,+45,0.5185,0.5185,0.0,0.0,0.0,0.0,False,False,False,0.0,a2a4,38.0,0.23950000000000005
validation_0400,r1bq1rk1/1ppnbppp/3p1n2/p2PpP2/2P1P3/2N1B3/PP4PP/R2QKBNR b KQ -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,,a5a4,5,55040,3.405037282005651,c7c6,-75,-141,0.357,0.095,66.0,66.0,0.262,0.262,False,False,False,2.7520000000000002,a5a4,53.0,0.219
